,Unnamed: 0,business_status,name,place_id,rating,latitude,longitude,rv_park,beauty_salon,aquarium,home_goods_store,storage,night_club,bicycle_store,shoe_store,furniture_store,drugstore,school,moving_company,electronics_store,supermarket,city_hall,post_office,roofing_contractor,book_store,airport,church,atm,gas_station,movie_theater,convenience_store,shopping_mall,lawyer,car_repair,accounting,florist,university,car_rental,primary_school,library,taxi_stand,bus_station,park,art_gallery,travel_agency,jewelry_store,liquor_store,laundry,secondary_school,gym,veterinary_care,real_estate_agency,department_store,cafe,car_dealer,police,subway_station,parking,locksmith,restaurant,courthouse,light_rail_station,amusement_park,campground,stadium,synagogue,fire_station,bank,museum,store,dentist,bar,casino,hindu_temple,funeral_home,insurance_agency,spa,mosque,cemetery,car_wash,local_government_office,lodging,pet_store,bakery,electrician,embassy,plumber,meal_takeaway,pharmacy,meal_delivery,train_station,zoo,tourist_attraction,hospital,movie_rental,doctor,transit_station,bowling_alley,clothing_store,painter,hair_care,physiotherapist,hardware_store,permanently_closed,atms,banks,bus_stations,churches,gas_stations,hospitals,mosques,pharmacies,restaurants,schools,train_stations,competitors_supermarket,competitors_shopping_mall,Males,Females,Children,Working,Elderly
559,2003,OPERATIONAL,Bantayehu Tyre & Battery Shop,ChIJgUQb6xeHSxYRPUeYqkBpNho,5.0,9.032154,38.724208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,21,0,6,7,12,11,5,73,24,0,12,15,124898,130474,54200,190442,10730
560,328,OPERATIONAL,Tenkir spare part,ChIJgY_TIVCFSxYRAFjMdDWEmzU,-,8.969146900000002,38.74873569999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,13,0,16,1,7,1,3,23,13,0,2,17,148984,167299,81736,226148,8399
561,1336,OPERATIONAL,Ebm Building,ChIJgZUquDSFSxYRYNaer9gCl0M,4.5,9.0053817,38.81990220000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,18,0,11,0,1,1,6,57,14,0,9,13,145225,163770,75491,225517,7987
562,1732,OPERATIONAL,መሀመድ በለጬ,ChIJgb9kfmqHSxYR_hyEFGMOZYM,-,9.021708099999998,38.7208431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,5,3,8,7,2,40,23,0,4,3,124898,130474,54200,190442,10730
563,1578,OPERATIONAL,Abuzer Style,ChIJgboqsg6FSxYR4so-EujdefA,-,9.0080956,38.7842029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,53,0,10,1,24,3,17,223,21,0,20,49,145225,163770,75491,225517,7987
564,520,OPERATIONAL,Shoa Shoping Center,ChIJgeMciX6HSxYR7TR7yjMOZQs,-,8.982414600000002,38.6921974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,1,10,2,3,7,6,36,20,0,8,6,207641,221254,123704,295646,9545
565,1956,OPERATIONAL,Mesay Supermarket,ChIJgyW4uqGbSxYRDrUv6feOffI,-,9.019528199999998,38.8347686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,22,0,7,3,4,2,7,55,9,0,9,12,145225,163770,75491,225517,7987
566,798,OPERATIONAL,Shop,ChIJgydLmGeFSxYRLUfTxYk0VBg,2.0,8.995056,38.765258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,49,0,13,5,19,2,14,140,27,0,23,32,103500,117734,44236,167565,9433
567,550,OPERATIONAL,ZEBIDAR BREWERY S.C,ChIJh1N2BjuESxYRFxehWDFGDNQ,4.8,8.987942799999999,38.7494953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,25,0,15,2,7,5,5,74,17,0,17,15,103500,117734,44236,167565,9433
568,1555,OPERATIONAL,Getahun Beshah,ChIJh1N4n3SFSxYRiu88GTHomiU,3.8,9.014549599999995,38.7835818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,46,0,11,1,21,4,12,160,22,0,21,33,161592,185072,83403,251219,12042
569,219,OPERATIONAL,PEONY Comercial,ChIJh6suRZqBSxYRolI0yPJIU9U,4.5,8.9661868,38.7199871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,0,11,3,2,7,9,30,14,0,6,21,148984,167299,81736,226148,8399
570,977,OPERATIONAL,Robit Shopping & Delivery,ChIJh9erkSaFSxYRAEXOiRJg-60,4.0,8.996487899999998,38.80703049999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,14,0,11,1,6,1,10,136,22,0,30,19,145225,163770,75491,225517,7987
571,1896,OPERATIONAL,Gollagul Tower ጎላጎል ህንፃ,ChIJhRVYV3KFSxYRScsOhcg94tc,3.9,9.0156318,38.7870383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,45,0,22,3,25,3,16,163,22,0,24,33,161592,185072,83403,251219,12042
572,1704,OPERATIONAL,Tibeb Building,ChIJhT31cY6aSxYRUaqPFHKh8y4,3.3,9.009675299999998,38.8535554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,12,0,5,1,1,2,10,44,18,0,10,12,145225,163770,75491,225517,7987
573,701,OPERATIONAL,Mikre shop,ChIJhW26OTSFSxYRJgtvjxjiXXQ,-,8.9921202,38.80599249999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,6,0,7,1,5,1,7,85,8,0,19,10,145225,163770,75491,225517,7987
574,1071,OPERATIONAL,Dream Tower,ChIJhZhpFPaHSxYR5gunmeB4FjI,4.5,9.0118727,38.7197639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,0,4,3,5,4,1,17,9,0,7,7,96272,105441,42676,150181,8856
575,2238,OPERATIONAL,Tafese Enchet Bet,ChIJheSXhfyHSxYRYtYo_a3ztiM,4.5,9.0421783,38.69613829999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,6,0,1,11,0,2,2,0,1,3,207641,221254,123704,295646,9545
576,293,OPERATIONAL,Mina Mall,ChIJhyxYoKeHSxYR3_B6UbuUtB0,4.8,8.9689611,38.7214734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,0,13,3,2,6,4,30,17,0,5,15,148984,167299,81736,226148,8399
577,2328,OPERATIONAL,Betelhem Auto Spare Part,ChIJhzBU50uPSxYR4_zcFTaLGRo,5.0,9.041410999999998,38.7464615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,26,0,13,5,16,7,11,100,36,0,9,21,99165,112336,42050,160343,9108
578,47,OPERATIONAL,Future Nigussie Gingo Building,ChIJi-t33XqASxYR4edPqqv7X8U,-,8.9312179,38.66220359999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,2,1,3,2,0,1,6,0,0,3,0,0,0,0,0
