,business_status,name,place_id,rating,latitude,longitude,city_hall,car_wash,bar,airport,spa,school,art_gallery,drugstore,aquarium,gas_station,light_rail_station,shopping_mall,taxi_stand,supermarket,moving_company,movie_rental,plumber,train_station,local_government_office,storage,car_repair,roofing_contractor,embassy,meal_takeaway,book_store,police,pharmacy,zoo,movie_theater,subway_station,mosque,hair_care,cafe,accounting,secondary_school,post_office,bank,convenience_store,park,campground,meal_delivery,department_store,real_estate_agency,university,store,clothing_store,physiotherapist,bus_station,doctor,electronics_store,museum,jewelry_store,gym,library,rv_park,bakery,bicycle_store,fire_station,restaurant,travel_agency,stadium,night_club,florist,cemetery,veterinary_care,primary_school,shoe_store,church,lawyer,car_dealer,dentist,funeral_home,beauty_salon,insurance_agency,hospital,home_goods_store,electrician,locksmith,tourist_attraction,amusement_park,bowling_alley,casino,painter,transit_station,hardware_store,lodging,hindu_temple,liquor_store,atm,car_rental,laundry,courthouse,parking,furniture_store,synagogue,pet_store
2613,OPERATIONAL,"Belle Ame Hotel, Bar and Restaurant",ChIJGewA83-FSxYRCvQMMwNDekE,5.0,8.9908115,38.7666244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5572,OPERATIONAL,Totot ቶቶት,ChIJGfTJajmFSxYRmKWa-7Le868,4.2,9.0072703,38.8061829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3468,OPERATIONAL,Mohamed Shay Bet,ChIJGfkSs7yFSxYRfbQRRN5pm3I,,9.000742299999999,38.7588732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7263,OPERATIONAL,ቅዱስ ጊዮርጊስ ባር እና ሬስቶራንት st george bar and restaurant,ChIJGwnG1v-FSxYROyjCfNph7AQ,,9.0339841,38.7539878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7770,OPERATIONAL,Jossy Restaurant,ChIJGwpx60qJSxYRxGoxbG-nDUs,3.0,9.0494326,38.7250763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3654,OPERATIONAL,Melody Pub,ChIJGwr2_uWFSxYR8fxXrH8k3c8,4.0,8.995185999999999,38.794132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2705,OPERATIONAL,陕西面馆 Shaanxi noodle restaurant,ChIJGx1zZfeFSxYR934Buz3GB4E,5.0,8.989891499999999,38.7806211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3469,OPERATIONAL,Chanoly Noodles (Catering Service only),ChIJGy2atIyFSxYRpi-3rG94fDg,5.0,8.9904472,38.7621781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,OPERATIONAL,Mulunesh Megeb Bet,ChIJGyGUPHeHSxYRD9wixbQvHHY,,9.0315437,38.7358864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2759,OPERATIONAL,Lime Tree Bole,ChIJH0SKVfmESxYRz5q-34ITb3o,3.9,8.990354400000001,38.7837521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3638,OPERATIONAL,Golden Tulip Addis Ababa Hotel,ChIJH0hMhQKFSxYRKky0csLcv9s,4.3,8.995529,38.78722399999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4303,OPERATIONAL,Heineken Green Rift Vally Bar & Restaurant,ChIJH0kGwuKFSxYRfJIhw4Owtdg,,9.0011679,38.7561282,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,OPERATIONAL,Tadu Snack,ChIJH0o6f9mHSxYR3bRA09dU8VY,,8.9759096,38.68151409999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7361,OPERATIONAL,3B Restraurant,ChIJH14C4lqPSxYRA4KuXejO5EI,,9.036821299999998,38.7736715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5045,OPERATIONAL,Kalkidan Food Prepar,ChIJH1cG-eOHSxYRpR-qo46tkSU,,9.0076729,38.73182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
