,business_status,name,place_id,rating,permanently_closed,latitude,longitude,moving_company,aquarium,car_dealer,city_hall,cemetery,store,art_gallery,electrician,embassy,home_goods_store,university,real_estate_agency,supermarket,bar,local_government_office,transit_station,fire_station,secondary_school,primary_school,subway_station,car_repair,lawyer,car_rental,furniture_store,storage,roofing_contractor,travel_agency,painter,school,book_store,museum,restaurant,rv_park,veterinary_care,dentist,car_wash,taxi_stand,movie_theater,meal_takeaway,beauty_salon,bakery,library,campground,jewelry_store,electronics_store,liquor_store,bicycle_store,hardware_store,department_store,laundry,airport,pet_store,drugstore,meal_delivery,atm,stadium,pharmacy,plumber,movie_rental,police,parking,physiotherapist,courthouse,accounting,doctor,bowling_alley,park,church,zoo,amusement_park,night_club,hindu_temple,clothing_store,light_rail_station,hair_care,mosque,shoe_store,bus_station,shopping_mall,insurance_agency,bank,florist,spa,cafe,convenience_store,synagogue,casino,locksmith,tourist_attraction,train_station,funeral_home,lodging,gym,hospital,gas_station,post_office
613,OPERATIONAL,Demibel cityb center,ChIJ-xwSNe-FSxYRhvtvZb08FM4,,,8.9806034,38.7577605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1399,OPERATIONAL,Ethio Telecom Lideta Shop,ChIJ0-nAktiFSxYRUWkuht8Y_Xk,4.0,,9.013153599999999,38.7378966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,OPERATIONAL,Twenty Eight Design+Furniture,ChIJ05aXJS6FSxYRGHIMHfofqag,,,8.999167999999997,38.785544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,OPERATIONAL,Sinotruk{ሲኖ} Spare Part {አዶት},ChIJ06ATZq-FSxYRxChHH0ClZj0,,,8.9748457,38.74844270000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2171,,Fetan Market Center,ChIJ07hoI_SFSxYRg7XAtvVUIJQ,,,9.0320767,38.7530778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,OPERATIONAL,Seket Business Center,ChIJ0R8czUiFSxYRzVLpb4i6uDg,,,9.032651399999999,38.7387227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,OPERATIONAL,kera atikilit tera,ChIJ0aq_mYCFSxYRQgdxaIrge1w,,,8.985484000000001,38.74932459999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,,Ahemed Business Center,ChIJ0birkNiFSxYRjQdLTv0j4mY,,,9.0131316,38.7375551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,OPERATIONAL,Tibeb Baltena,ChIJ0fOM8_2bSxYRl8RA06KUzSo,5.0,,9.0117721,38.8483074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,OPERATIONAL,A.Kalifa Shoping,ChIJ0w4mdEuBSxYRdOGM_Y-48OQ,,,8.9651915,38.7201067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,OPERATIONAL,Sheger Building | Bole Sheger,ChIJ0yr0pgSFSxYRKpIaHGWd7y4,,,8.9987304,38.7851996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,OPERATIONAL,Ethio telecom,ChIJ1-EH9vibSxYRRqf3IbCF-q4,4.0,,9.021157800000001,38.8548709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OPERATIONAL,Liberty Mall,ChIJ14GNCCF3SxYRues-dRJ6Tpg,,,8.8664273,38.82071039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,OPERATIONAL,Metebaber Buld,ChIJ150ry0KFSxYRn8l6o2NnZPg,3.2,,9.0201997,38.8011098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
