,business_status,name,place_id,rating,latitude,longitude,casino,store,moving_company,shoe_store,gas_station,bank,park,car_dealer,amusement_park,lodging,night_club,rv_park,mosque,accounting,home_goods_store,courthouse,zoo,plumber,train_station,bakery,pharmacy,clothing_store,bicycle_store,storage,veterinary_care,university,gym,laundry,car_rental,furniture_store,light_rail_station,secondary_school,jewelry_store,parking,beauty_salon,spa,restaurant,synagogue,funeral_home,transit_station,pet_store,campground,movie_theater,bar,florist,atm,aquarium,movie_rental,hospital,real_estate_agency,cemetery,doctor,cafe,insurance_agency,school,taxi_stand,hardware_store,city_hall,shopping_mall,dentist,post_office,meal_delivery,meal_takeaway,stadium,tourist_attraction,car_wash,locksmith,hindu_temple,fire_station,bowling_alley,department_store,liquor_store,airport,primary_school,library,roofing_contractor,supermarket,church,painter,police,convenience_store,physiotherapist,local_government_office,travel_agency,bus_station,drugstore,embassy,electrician,lawyer,hair_care,art_gallery,electronics_store,museum,car_repair,book_store,subway_station
194,OPERATIONAL,Pharmacy,ChIJM-ErD5qHSxYRPLVihjscE1g,5.0,8.973114399999998,38.7306586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,OPERATIONAL,Alpha pharmacy,ChIJM2LxFxGbSxYRBg-pxSKVH0Q,,9.0107684,38.83947819999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,OPERATIONAL,Global Pharmacy,ChIJM9oNwjiFSxYR9xK4igM4HDM,1.0,9.0011686,38.75885499999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,OPERATIONAL,Gishen Pharmacy,ChIJMTNbc-SESxYRHlzNPoj0Kus,5.0,8.989432299999999,38.7930107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,OPERATIONAL,"Selihom pharmacy ""ሰሊሆም ፈርማሲ""",ChIJMUb4saCFSxYRxLjUB2Ql_Js,,8.996937499999998,38.8067184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,OPERATIONAL,Blu Pharmacy,ChIJMVnVrgWHSxYRRCDxObzb_cw,,9.004383899999999,38.68922749999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,OPERATIONAL,Nur Pharmacy (ኑር ፋርማሲ),ChIJMXGbSUmHSxYR3xWTUXHiExY,,8.975041399999999,38.68180549999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,OPERATIONAL,yegeziabher bet,ChIJN4p_UdiFSxYRqTuJOg-IAD0,,9.0275957,38.7525716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,OPERATIONAL,Solo-Da Pharmacy,ChIJNV0eLIaBSxYR_PxTHjET4fw,,8.9494151,38.7213249,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,OPERATIONAL,Jilalu Tea,ChIJNWZD1a6FSxYRxKukly88Rk0,,9.029264399999999,38.7421092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
